,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
9852,2019,7,False,11740550,356598.52173913043,46992.0,49577.47826086957,28473.347826086956,39410.86956521739,54065.69565217391,48504.04347826087,37705.95652173913,30641.434782608696,1125055,11740550,서울,강동구,고덕1동
9853,2019,7,True,11740550,350580.5,41063.375,39005.375,29724.5,43199.875,60045.25,51322.25,37284.625,28279.25,1125055,11740550,서울,강동구,고덕1동
9854,2019,8,False,11740550,353110.0909090909,46496.13636363636,47062.72727272727,27925.727272727272,39564.59090909091,54368.90909090909,48403.90909090909,36926.27272727273,31315.590909090908,1125055,11740550,서울,강동구,고덕1동
9855,2019,8,True,11740550,348939.8888888889,40457.333333333336,37886.22222222222,30160.666666666668,43674.0,58652.0,51020.555555555555,37046.77777777778,29742.333333333332,1125055,11740550,서울,강동구,고덕1동
9856,2019,9,False,11740550,379431.4,53435.25,54263.45,26933.95,43473.3,58678.7,49993.7,39413.35,33515.2,1125055,11740550,서울,강동구,고덕1동
9857,2019,9,True,11740550,377178.1111111111,46536.77777777778,41294.555555555555,31258.666666666668,48020.333333333336,66091.66666666667,53616.555555555555,39707.555555555555,31674.333333333332,1125055,11740550,서울,강동구,고덕1동
9858,2019,10,False,11740550,385576.14285714284,52880.857142857145,53377.5,27596.14285714286,44979.857142857145,61540.78571428572,52183.57142857143,40063.92857142857,33405.5,1125055,11740550,서울,강동구,고덕1동
9859,2019,10,True,11740550,383285.0,45966.5,41780.75,32266.0,49925.75,66153.5,55532.75,40310.5,32581.25,1125055,11740550,서울,강동구,고덕1동
9860,2019,11,False,11740550,373629.61904761905,52656.19047619047,50329.47619047619,26707.095238095237,43019.09523809524,58941.09523809524,48996.857142857145,39492.71428571428,33471.04761904762,1125055,11740550,서울,강동구,고덕1동
9861,2019,11,True,11740550,374288.77777777775,46706.0,41910.666666666664,30928.444444444445,46975.0,65175.444444444445,52485.444444444445,38628.77777777778,32280.11111111111,1125055,11740550,서울,강동구,고덕1동
9862,2019,12,False,11740550,374638.6818181818,52372.86363636364,49244.22727272727,28168.272727272728,42439.681818181816,59482.86363636364,49210.0,40191.22727272727,33729.818181818184,1125055,11740550,서울,강동구,고덕1동
9863,2019,12,True,11740550,379900.6666666667,46314.77777777778,43094.333333333336,31569.777777777777,47362.555555555555,66287.22222222222,53215.333333333336,40847.0,32413.777777777777,1125055,11740550,서울,강동구,고덕1동
9864,2019,1,False,11740560,230870.52173913043,10280.521739130434,18393.956521739132,25010.782608695652,25997.565217391304,32497.91304347826,42864.30434782609,34274.13043478261,33862.086956521736,1125056,11740560,서울,강동구,고덕2동
9865,2019,1,True,11740560,224956.0,10469.0,18634.625,24566.5,25573.25,31279.5,41367.125,33475.25,32123.375,1125056,11740560,서울,강동구,고덕2동
9866,2019,2,False,11740560,224969.5,9548.90909090909,18048.272727272728,24238.909090909092,25514.272727272728,31359.954545454544,41511.181818181816,33497.09090909091,33386.72727272727,1125056,11740560,서울,강동구,고덕2동
